서비스명,평균_클릭률,중위_클릭률,최대_클릭률,최소_클릭률,표준편차,알림_수,평균_발송수,평균_응답시간
신용점수조회,10.835605769230769,7.5355,66.226,0.93,11.172572233102342,312,162434.72756410256,1914.516166174455
신용대환대출,8.915482035928143,8.523,23.088,2.766,3.6456527476157885,668,19788.555389221558,3181.297547583084
주택담보대출비교,7.8300388349514565,6.496,42.513,2.137,5.293871062087409,103,284423.1553398058,1870.88782832233
신용대출비교,5.742983922829582,5.377,24.16,0.91,2.710648445762542,311,208183.1993569132,936.3033477726688
전월세대출비교 사전신청,5.5081999999999995,5.703,6.385,4.071,0.8822061550454067,5,521106.6,938.46651636
전월세대출비교,7.284973684210526,5.909,17.392,1.892,4.115920943787062,38,209370.81578947368,483.06726711842106
중고차론,7.446173913043478,4.627,31.828,1.642,7.721211531478334,23,243732,416.33474079913043
신차리스,6.676486486486486,5.557,23.293,1.956,4.383227410771033,37,167988.05405405405,506.5791900864865
