ID,발송일,"발송채널 (noti : 네이버앱, npay: 페이앱)",서비스명,발송 문구,발송회원수,클릭회원수,클릭율,클릭까지 소요된 평균 분(Minutes)
192,2024-03-11,noti,신용대환대출,(광고) 더 싼 대출이 잘 나오는 시간이 있다? 바로 지금이에요 👉 ,14584,1179,8.084,6192.476675
193,2024-03-11,noti,신용대환대출,(광고) 내 금리 한도가 달라졌을까? 지금 확인해보세요👉,6198,416,6.712,5375.144231
194,2024-03-12,noti,신용점수조회,(광고) 미뤄두었던 약관동의 완료하고  2023년 나의 신용분석 리포트 받으세요!,2416,211,8.733,2562.966825
195,2024-03-12,noti,신용대환대출,(광고) 최대 -2% 혜택 대상자입니다. 혜택 확인해보시겠어요? ,2876,358,12.448,2186.382682
196,2024-03-12,noti,신용대환대출,(광고) 더 싼 대출이 잘 나오는 시간이 있다? 바로 지금이에요 👉 ,23106,1961,8.487,7106.308006
197,2024-03-12,noti,신용대환대출,(광고) 내 금리 한도가 달라졌을까? 지금 확인해보세요👉,5184,332,6.404,6792.629518
198,2024-03-13,noti,신용점수조회,(광고) 미뤄두었던 약관동의 완료하고  2023년 나의 신용분석 리포트 받으세요!,2878,216,7.505,1853.851852
199,2024-03-13,noti,신용대환대출,(광고) 내 금리 한도가 달라졌을까? 지금 확인해보세요👉,5001,340,6.799,6895.435294
200,2024-03-13,noti,신용대환대출,(광고) 더 싼 대출이 잘 나오는 시간이 있다? 바로 지금이에요 👉 ,24518,2125,8.667,6608.819294
201,2024-03-13,noti,신용점수조회,(광고) 연체기록이 삭제되면 더 좋은 조건으로 금융생활이 가능해요. 신용회복 지원정책 확인하러 가기 👉,469838,35337,7.521,1131.826216
202,2024-03-13,noti,신용대환대출,(광고) 최대 -2% 혜택 대상자입니다. 혜택 확인해보시겠어요? ,3037,384,12.644,3079.8125
203,2024-03-14,noti,신용대환대출,(광고) 내 금리 한도가 달라졌을까? 지금 확인해보세요👉,4270,283,6.628,6520.975265
204,2024-03-15,noti,신용대환대출,(광고) 내 금리 한도가 달라졌을까? 지금 확인해보세요👉,2662,182,6.837,4312.510989
205,2024-03-15,noti,신용대출비교,(광고) 🎉대출 이자지원 대상자입니다!🎉 네이버페이 첫 달 -2%이자지원 금리 혜택 받기  👉,239832,19472,8.119,1042.677486
